Epoch 1: Train Loss=3.9670, Train Top-1 Acc=0.2082, Train Top-5 Acc=0.4523, Val Loss=3.6003, Val Top-1 Acc=0.1757, Val Top-5 Acc=0.3998, Epoch Time=125.78s
Epoch 2: Train Loss=3.3038, Train Top-1 Acc=0.2892, Train Top-5 Acc=0.5551, Val Loss=3.3078, Val Top-1 Acc=0.2257, Val Top-5 Acc=0.4768, Epoch Time=125.80s
Epoch 3: Train Loss=2.9598, Train Top-1 Acc=0.3433, Train Top-5 Acc=0.6251, Val Loss=3.1245, Val Top-1 Acc=0.2575, Val Top-5 Acc=0.5219, Epoch Time=125.77s
Epoch 4: Train Loss=2.6823, Train Top-1 Acc=0.3957, Train Top-5 Acc=0.6774, Val Loss=2.9639, Val Top-1 Acc=0.2892, Val Top-5 Acc=0.5582, Epoch Time=125.77s
Epoch 5: Train Loss=2.4571, Train Top-1 Acc=0.4425, Train Top-5 Acc=0.7241, Val Loss=2.8364, Val Top-1 Acc=0.3153, Val Top-5 Acc=0.5924, Epoch Time=125.79s
Epoch 6: Train Loss=2.2649, Train Top-1 Acc=0.4749, Train Top-5 Acc=0.7544, Val Loss=2.7768, Val Top-1 Acc=0.3281, Val Top-5 Acc=0.6092, Epoch Time=125.79s
Epoch 7: Train Loss=2.1066, Train Top-1 Acc=0.5177, Train Top-5 Acc=0.7864, Val Loss=2.6997, Val Top-1 Acc=0.3427, Val Top-5 Acc=0.6259, Epoch Time=125.77s
Epoch 8: Train Loss=1.9627, Train Top-1 Acc=0.5532, Train Top-5 Acc=0.8132, Val Loss=2.6363, Val Top-1 Acc=0.3585, Val Top-5 Acc=0.6378, Epoch Time=125.78s
Epoch 9: Train Loss=1.8327, Train Top-1 Acc=0.5828, Train Top-5 Acc=0.8324, Val Loss=2.6064, Val Top-1 Acc=0.3631, Val Top-5 Acc=0.6440, Epoch Time=125.79s
Epoch 10: Train Loss=1.7206, Train Top-1 Acc=0.6132, Train Top-5 Acc=0.8515, Val Loss=2.5881, Val Top-1 Acc=0.3673, Val Top-5 Acc=0.6526, Epoch Time=125.78s
Epoch 11: Train Loss=1.6100, Train Top-1 Acc=0.6369, Train Top-5 Acc=0.8665, Val Loss=2.5767, Val Top-1 Acc=0.3718, Val Top-5 Acc=0.6557, Epoch Time=125.79s
Epoch 12: Train Loss=1.5117, Train Top-1 Acc=0.6611, Train Top-5 Acc=0.8804, Val Loss=2.5647, Val Top-1 Acc=0.3780, Val Top-5 Acc=0.6580, Epoch Time=125.78s
Epoch 13: Train Loss=1.4244, Train Top-1 Acc=0.6828, Train Top-5 Acc=0.8934, Val Loss=2.5534, Val Top-1 Acc=0.3795, Val Top-5 Acc=0.6630, Epoch Time=125.79s
Epoch 14: Train Loss=1.3352, Train Top-1 Acc=0.7046, Train Top-5 Acc=0.9043, Val Loss=2.5605, Val Top-1 Acc=0.3881, Val Top-5 Acc=0.6659, Epoch Time=125.78s
Epoch 15: Train Loss=1.2547, Train Top-1 Acc=0.7333, Train Top-5 Acc=0.9164, Val Loss=2.5605, Val Top-1 Acc=0.3836, Val Top-5 Acc=0.6666, Epoch Time=125.80s
Epoch 16: Train Loss=1.1794, Train Top-1 Acc=0.7415, Train Top-5 Acc=0.9206, Val Loss=2.5861, Val Top-1 Acc=0.3827, Val Top-5 Acc=0.6663, Epoch Time=125.79s
Epoch 17: Train Loss=1.1071, Train Top-1 Acc=0.7723, Train Top-5 Acc=0.9358, Val Loss=2.5705, Val Top-1 Acc=0.3857, Val Top-5 Acc=0.6697, Epoch Time=125.81s
Epoch 18: Train Loss=1.0372, Train Top-1 Acc=0.7933, Train Top-5 Acc=0.9414, Val Loss=2.5829, Val Top-1 Acc=0.3870, Val Top-5 Acc=0.6689, Epoch Time=125.75s
Epoch 19: Train Loss=0.9732, Train Top-1 Acc=0.8089, Train Top-5 Acc=0.9486, Val Loss=2.5970, Val Top-1 Acc=0.3899, Val Top-5 Acc=0.6710, Epoch Time=125.80s
Epoch 20: Train Loss=0.9127, Train Top-1 Acc=0.8232, Train Top-5 Acc=0.9544, Val Loss=2.6135, Val Top-1 Acc=0.3915, Val Top-5 Acc=0.6685, Epoch Time=125.81s
Epoch 21: Train Loss=0.8522, Train Top-1 Acc=0.8456, Train Top-5 Acc=0.9608, Val Loss=2.6331, Val Top-1 Acc=0.3868, Val Top-5 Acc=0.6694, Epoch Time=125.83s
Epoch 22: Train Loss=0.7976, Train Top-1 Acc=0.8609, Train Top-5 Acc=0.9658, Val Loss=2.6502, Val Top-1 Acc=0.3861, Val Top-5 Acc=0.6697, Epoch Time=125.79s
Epoch 23: Train Loss=0.7447, Train Top-1 Acc=0.8779, Train Top-5 Acc=0.9721, Val Loss=2.6719, Val Top-1 Acc=0.3866, Val Top-5 Acc=0.6680, Epoch Time=125.81s
Epoch 24: Train Loss=0.6915, Train Top-1 Acc=0.8869, Train Top-5 Acc=0.9755, Val Loss=2.6949, Val Top-1 Acc=0.3884, Val Top-5 Acc=0.6690, Epoch Time=125.80s
Epoch 25: Train Loss=0.6466, Train Top-1 Acc=0.8976, Train Top-5 Acc=0.9781, Val Loss=2.7239, Val Top-1 Acc=0.3885, Val Top-5 Acc=0.6650, Epoch Time=125.78s
Epoch 26: Train Loss=0.6040, Train Top-1 Acc=0.9116, Train Top-5 Acc=0.9818, Val Loss=2.7419, Val Top-1 Acc=0.3872, Val Top-5 Acc=0.6668, Epoch Time=125.80s
Epoch 27: Train Loss=0.5634, Train Top-1 Acc=0.9215, Train Top-5 Acc=0.9845, Val Loss=2.7704, Val Top-1 Acc=0.3846, Val Top-5 Acc=0.6656, Epoch Time=125.83s
Epoch 28: Train Loss=0.5251, Train Top-1 Acc=0.9287, Train Top-5 Acc=0.9865, Val Loss=2.7887, Val Top-1 Acc=0.3842, Val Top-5 Acc=0.6681, Epoch Time=125.81s
