Epoch 1: Train Loss=3.5049, Train Top-1 Acc=0.3964, Train Top-5 Acc=0.6919, Val Loss=2.9628, Val Top-1 Acc=0.2899, Val Top-5 Acc=0.5796, Epoch Time=125.70s
Epoch 2: Train Loss=2.2877, Train Top-1 Acc=0.6018, Train Top-5 Acc=0.8537, Val Loss=2.6039, Val Top-1 Acc=0.3645, Val Top-5 Acc=0.6556, Epoch Time=125.60s
Epoch 3: Train Loss=1.6659, Train Top-1 Acc=0.7167, Train Top-5 Acc=0.9132, Val Loss=2.6217, Val Top-1 Acc=0.3806, Val Top-5 Acc=0.6692, Epoch Time=125.52s
Epoch 4: Train Loss=1.2126, Train Top-1 Acc=0.8086, Train Top-5 Acc=0.9565, Val Loss=2.6960, Val Top-1 Acc=0.3832, Val Top-5 Acc=0.6663, Epoch Time=125.50s
Epoch 5: Train Loss=0.8451, Train Top-1 Acc=0.8858, Train Top-5 Acc=0.9822, Val Loss=2.8114, Val Top-1 Acc=0.3880, Val Top-5 Acc=0.6752, Epoch Time=125.49s
Epoch 6: Train Loss=0.5687, Train Top-1 Acc=0.9275, Train Top-5 Acc=0.9924, Val Loss=3.0177, Val Top-1 Acc=0.3782, Val Top-5 Acc=0.6669, Epoch Time=125.55s
Epoch 7: Train Loss=0.3489, Train Top-1 Acc=0.9648, Train Top-5 Acc=0.9980, Val Loss=3.1666, Val Top-1 Acc=0.3847, Val Top-5 Acc=0.6648, Epoch Time=125.58s
Epoch 8: Train Loss=0.1933, Train Top-1 Acc=0.9885, Train Top-5 Acc=0.9997, Val Loss=3.2888, Val Top-1 Acc=0.3936, Val Top-5 Acc=0.6686, Epoch Time=125.59s
Epoch 9: Train Loss=0.1019, Train Top-1 Acc=0.9967, Train Top-5 Acc=0.9999, Val Loss=3.3908, Val Top-1 Acc=0.3936, Val Top-5 Acc=0.6760, Epoch Time=125.70s
Epoch 10: Train Loss=0.0563, Train Top-1 Acc=0.9990, Train Top-5 Acc=1.0000, Val Loss=3.4604, Val Top-1 Acc=0.3974, Val Top-5 Acc=0.6794, Epoch Time=125.61s
Epoch 11: Train Loss=0.0341, Train Top-1 Acc=0.9996, Train Top-5 Acc=1.0000, Val Loss=3.5013, Val Top-1 Acc=0.4014, Val Top-5 Acc=0.6807, Epoch Time=125.67s
Epoch 12: Train Loss=0.0245, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=3.5544, Val Top-1 Acc=0.4046, Val Top-5 Acc=0.6825, Epoch Time=125.72s
