Epoch 1: Train Loss=3.9939, Train Top-1 Acc=0.2016, Train Top-5 Acc=0.4404, Val Loss=3.6208, Val Top-1 Acc=0.1750, Val Top-5 Acc=0.3895, Epoch Time=125.77s
Epoch 2: Train Loss=3.3383, Train Top-1 Acc=0.2770, Train Top-5 Acc=0.5469, Val Loss=3.3258, Val Top-1 Acc=0.2232, Val Top-5 Acc=0.4724, Epoch Time=125.80s
Epoch 3: Train Loss=2.9824, Train Top-1 Acc=0.3372, Train Top-5 Acc=0.6199, Val Loss=3.1249, Val Top-1 Acc=0.2607, Val Top-5 Acc=0.5228, Epoch Time=125.78s
Epoch 4: Train Loss=2.7108, Train Top-1 Acc=0.3898, Train Top-5 Acc=0.6747, Val Loss=2.9713, Val Top-1 Acc=0.2883, Val Top-5 Acc=0.5605, Epoch Time=125.79s
Epoch 5: Train Loss=2.4896, Train Top-1 Acc=0.4341, Train Top-5 Acc=0.7164, Val Loss=2.8727, Val Top-1 Acc=0.3082, Val Top-5 Acc=0.5867, Epoch Time=125.79s
Epoch 6: Train Loss=2.3084, Train Top-1 Acc=0.4678, Train Top-5 Acc=0.7481, Val Loss=2.7927, Val Top-1 Acc=0.3255, Val Top-5 Acc=0.6062, Epoch Time=125.80s
Epoch 7: Train Loss=2.1561, Train Top-1 Acc=0.5063, Train Top-5 Acc=0.7778, Val Loss=2.7289, Val Top-1 Acc=0.3404, Val Top-5 Acc=0.6215, Epoch Time=125.77s
Epoch 8: Train Loss=2.0149, Train Top-1 Acc=0.5366, Train Top-5 Acc=0.7985, Val Loss=2.6976, Val Top-1 Acc=0.3496, Val Top-5 Acc=0.6290, Epoch Time=125.78s
Epoch 9: Train Loss=1.8920, Train Top-1 Acc=0.5670, Train Top-5 Acc=0.8234, Val Loss=2.6549, Val Top-1 Acc=0.3567, Val Top-5 Acc=0.6388, Epoch Time=125.80s
Epoch 10: Train Loss=1.7746, Train Top-1 Acc=0.6011, Train Top-5 Acc=0.8428, Val Loss=2.6206, Val Top-1 Acc=0.3597, Val Top-5 Acc=0.6461, Epoch Time=125.79s
Epoch 11: Train Loss=1.6655, Train Top-1 Acc=0.6260, Train Top-5 Acc=0.8559, Val Loss=2.5969, Val Top-1 Acc=0.3700, Val Top-5 Acc=0.6569, Epoch Time=125.80s
Epoch 12: Train Loss=1.5669, Train Top-1 Acc=0.6530, Train Top-5 Acc=0.8743, Val Loss=2.5981, Val Top-1 Acc=0.3682, Val Top-5 Acc=0.6576, Epoch Time=125.78s
Epoch 13: Train Loss=1.4737, Train Top-1 Acc=0.6735, Train Top-5 Acc=0.8862, Val Loss=2.5818, Val Top-1 Acc=0.3751, Val Top-5 Acc=0.6629, Epoch Time=125.78s
Epoch 14: Train Loss=1.3852, Train Top-1 Acc=0.6973, Train Top-5 Acc=0.8979, Val Loss=2.5788, Val Top-1 Acc=0.3785, Val Top-5 Acc=0.6677, Epoch Time=125.79s
Epoch 15: Train Loss=1.3068, Train Top-1 Acc=0.7221, Train Top-5 Acc=0.9096, Val Loss=2.5689, Val Top-1 Acc=0.3807, Val Top-5 Acc=0.6732, Epoch Time=125.76s
Epoch 16: Train Loss=1.2271, Train Top-1 Acc=0.7435, Train Top-5 Acc=0.9209, Val Loss=2.5786, Val Top-1 Acc=0.3844, Val Top-5 Acc=0.6750, Epoch Time=125.79s
Epoch 17: Train Loss=1.1502, Train Top-1 Acc=0.7653, Train Top-5 Acc=0.9310, Val Loss=2.5745, Val Top-1 Acc=0.3845, Val Top-5 Acc=0.6732, Epoch Time=125.80s
Epoch 18: Train Loss=1.0819, Train Top-1 Acc=0.7836, Train Top-5 Acc=0.9378, Val Loss=2.5987, Val Top-1 Acc=0.3848, Val Top-5 Acc=0.6746, Epoch Time=125.77s
Epoch 19: Train Loss=1.0165, Train Top-1 Acc=0.7957, Train Top-5 Acc=0.9419, Val Loss=2.6118, Val Top-1 Acc=0.3842, Val Top-5 Acc=0.6762, Epoch Time=125.80s
Epoch 20: Train Loss=0.9511, Train Top-1 Acc=0.8165, Train Top-5 Acc=0.9512, Val Loss=2.6250, Val Top-1 Acc=0.3852, Val Top-5 Acc=0.6792, Epoch Time=125.78s
Epoch 21: Train Loss=0.8910, Train Top-1 Acc=0.8322, Train Top-5 Acc=0.9581, Val Loss=2.6342, Val Top-1 Acc=0.3827, Val Top-5 Acc=0.6774, Epoch Time=125.77s
Epoch 22: Train Loss=0.8377, Train Top-1 Acc=0.8457, Train Top-5 Acc=0.9617, Val Loss=2.6437, Val Top-1 Acc=0.3867, Val Top-5 Acc=0.6767, Epoch Time=125.79s
Epoch 23: Train Loss=0.7820, Train Top-1 Acc=0.8663, Train Top-5 Acc=0.9687, Val Loss=2.6688, Val Top-1 Acc=0.3841, Val Top-5 Acc=0.6777, Epoch Time=125.78s
Epoch 24: Train Loss=0.7330, Train Top-1 Acc=0.8773, Train Top-5 Acc=0.9716, Val Loss=2.6953, Val Top-1 Acc=0.3837, Val Top-5 Acc=0.6795, Epoch Time=125.80s
Epoch 25: Train Loss=0.6850, Train Top-1 Acc=0.8870, Train Top-5 Acc=0.9749, Val Loss=2.7126, Val Top-1 Acc=0.3863, Val Top-5 Acc=0.6778, Epoch Time=125.80s
Epoch 26: Train Loss=0.6379, Train Top-1 Acc=0.8988, Train Top-5 Acc=0.9789, Val Loss=2.7422, Val Top-1 Acc=0.3825, Val Top-5 Acc=0.6781, Epoch Time=125.79s
Epoch 27: Train Loss=0.5946, Train Top-1 Acc=0.9145, Train Top-5 Acc=0.9821, Val Loss=2.7611, Val Top-1 Acc=0.3815, Val Top-5 Acc=0.6764, Epoch Time=125.78s
Epoch 28: Train Loss=0.5521, Train Top-1 Acc=0.9183, Train Top-5 Acc=0.9846, Val Loss=2.7839, Val Top-1 Acc=0.3834, Val Top-5 Acc=0.6760, Epoch Time=125.81s
Epoch 29: Train Loss=0.5146, Train Top-1 Acc=0.9310, Train Top-5 Acc=0.9873, Val Loss=2.8053, Val Top-1 Acc=0.3843, Val Top-5 Acc=0.6785, Epoch Time=125.79s
