Epoch 1: Train Loss=4.2131, Train Top-1 Acc=0.1299, Train Top-5 Acc=0.3618, Val Loss=3.7904, Val Top-1 Acc=0.1159, Val Top-5 Acc=0.3430, Epoch Time=293.34s
Epoch 2: Train Loss=3.5721, Train Top-1 Acc=0.1980, Train Top-5 Acc=0.4758, Val Loss=3.4320, Val Top-1 Acc=0.1759, Val Top-5 Acc=0.4376, Epoch Time=292.95s
Epoch 3: Train Loss=3.2316, Train Top-1 Acc=0.2577, Train Top-5 Acc=0.5620, Val Loss=3.2216, Val Top-1 Acc=0.2254, Val Top-5 Acc=0.5009, Epoch Time=293.81s
Epoch 4: Train Loss=2.9727, Train Top-1 Acc=0.3110, Train Top-5 Acc=0.6210, Val Loss=3.0299, Val Top-1 Acc=0.2579, Val Top-5 Acc=0.5466, Epoch Time=293.42s
Epoch 5: Train Loss=2.7605, Train Top-1 Acc=0.3400, Train Top-5 Acc=0.6594, Val Loss=2.9824, Val Top-1 Acc=0.2616, Val Top-5 Acc=0.5689, Epoch Time=293.41s
Epoch 6: Train Loss=2.5640, Train Top-1 Acc=0.3836, Train Top-5 Acc=0.7073, Val Loss=2.8640, Val Top-1 Acc=0.2856, Val Top-5 Acc=0.5943, Epoch Time=293.42s
Epoch 7: Train Loss=2.3876, Train Top-1 Acc=0.4330, Train Top-5 Acc=0.7520, Val Loss=2.7875, Val Top-1 Acc=0.3117, Val Top-5 Acc=0.6132, Epoch Time=293.02s
Epoch 8: Train Loss=2.2272, Train Top-1 Acc=0.4596, Train Top-5 Acc=0.7751, Val Loss=2.7695, Val Top-1 Acc=0.3166, Val Top-5 Acc=0.6234, Epoch Time=292.29s
Epoch 9: Train Loss=2.0728, Train Top-1 Acc=0.5022, Train Top-5 Acc=0.8075, Val Loss=2.7605, Val Top-1 Acc=0.3343, Val Top-5 Acc=0.6313, Epoch Time=293.57s
Epoch 10: Train Loss=1.9428, Train Top-1 Acc=0.5355, Train Top-5 Acc=0.8396, Val Loss=2.7533, Val Top-1 Acc=0.3365, Val Top-5 Acc=0.6405, Epoch Time=292.21s
Epoch 11: Train Loss=1.7909, Train Top-1 Acc=0.5633, Train Top-5 Acc=0.8565, Val Loss=2.7906, Val Top-1 Acc=0.3334, Val Top-5 Acc=0.6405, Epoch Time=293.28s
Epoch 12: Train Loss=1.6664, Train Top-1 Acc=0.6061, Train Top-5 Acc=0.8860, Val Loss=2.7871, Val Top-1 Acc=0.3492, Val Top-5 Acc=0.6436, Epoch Time=293.19s
Epoch 13: Train Loss=1.5335, Train Top-1 Acc=0.6392, Train Top-5 Acc=0.9045, Val Loss=2.8451, Val Top-1 Acc=0.3504, Val Top-5 Acc=0.6420, Epoch Time=292.24s
Epoch 14: Train Loss=1.4088, Train Top-1 Acc=0.6592, Train Top-5 Acc=0.9175, Val Loss=2.9257, Val Top-1 Acc=0.3446, Val Top-5 Acc=0.6407, Epoch Time=292.86s
Epoch 15: Train Loss=1.2855, Train Top-1 Acc=0.6946, Train Top-5 Acc=0.9362, Val Loss=2.9834, Val Top-1 Acc=0.3466, Val Top-5 Acc=0.6437, Epoch Time=292.98s
Epoch 16: Train Loss=1.1777, Train Top-1 Acc=0.7131, Train Top-5 Acc=0.9449, Val Loss=3.0585, Val Top-1 Acc=0.3417, Val Top-5 Acc=0.6461, Epoch Time=293.59s
Epoch 17: Train Loss=1.0616, Train Top-1 Acc=0.7509, Train Top-5 Acc=0.9591, Val Loss=3.1389, Val Top-1 Acc=0.3482, Val Top-5 Acc=0.6434, Epoch Time=293.46s
Epoch 18: Train Loss=0.9604, Train Top-1 Acc=0.7611, Train Top-5 Acc=0.9650, Val Loss=3.1981, Val Top-1 Acc=0.3511, Val Top-5 Acc=0.6463, Epoch Time=293.84s
Epoch 19: Train Loss=0.8737, Train Top-1 Acc=0.7876, Train Top-5 Acc=0.9730, Val Loss=3.3360, Val Top-1 Acc=0.3410, Val Top-5 Acc=0.6412, Epoch Time=292.44s
Epoch 20: Train Loss=0.7772, Train Top-1 Acc=0.8084, Train Top-5 Acc=0.9799, Val Loss=3.4030, Val Top-1 Acc=0.3518, Val Top-5 Acc=0.6465, Epoch Time=292.77s
Epoch 21: Train Loss=0.7071, Train Top-1 Acc=0.8268, Train Top-5 Acc=0.9838, Val Loss=3.5052, Val Top-1 Acc=0.3471, Val Top-5 Acc=0.6394, Epoch Time=293.14s
Epoch 22: Train Loss=0.6543, Train Top-1 Acc=0.8393, Train Top-5 Acc=0.9860, Val Loss=3.5815, Val Top-1 Acc=0.3497, Val Top-5 Acc=0.6344, Epoch Time=293.41s
Epoch 23: Train Loss=0.5852, Train Top-1 Acc=0.8682, Train Top-5 Acc=0.9908, Val Loss=3.6699, Val Top-1 Acc=0.3555, Val Top-5 Acc=0.6374, Epoch Time=292.82s
Epoch 24: Train Loss=0.5193, Train Top-1 Acc=0.8778, Train Top-5 Acc=0.9929, Val Loss=3.7908, Val Top-1 Acc=0.3517, Val Top-5 Acc=0.6371, Epoch Time=293.07s
Epoch 25: Train Loss=0.4580, Train Top-1 Acc=0.8747, Train Top-5 Acc=0.9926, Val Loss=3.8875, Val Top-1 Acc=0.3489, Val Top-5 Acc=0.6343, Epoch Time=293.70s
Epoch 26: Train Loss=0.4288, Train Top-1 Acc=0.8887, Train Top-5 Acc=0.9941, Val Loss=3.9972, Val Top-1 Acc=0.3497, Val Top-5 Acc=0.6377, Epoch Time=292.94s
Epoch 27: Train Loss=0.3823, Train Top-1 Acc=0.9044, Train Top-5 Acc=0.9955, Val Loss=4.0020, Val Top-1 Acc=0.3547, Val Top-5 Acc=0.6347, Epoch Time=293.10s
Epoch 28: Train Loss=0.3547, Train Top-1 Acc=0.9127, Train Top-5 Acc=0.9965, Val Loss=4.0513, Val Top-1 Acc=0.3519, Val Top-5 Acc=0.6356, Epoch Time=292.94s
Epoch 29: Train Loss=0.3160, Train Top-1 Acc=0.9206, Train Top-5 Acc=0.9970, Val Loss=4.1495, Val Top-1 Acc=0.3531, Val Top-5 Acc=0.6389, Epoch Time=293.04s
Epoch 30: Train Loss=0.2894, Train Top-1 Acc=0.9241, Train Top-5 Acc=0.9971, Val Loss=4.2395, Val Top-1 Acc=0.3468, Val Top-5 Acc=0.6323, Epoch Time=292.96s
Epoch 31: Train Loss=0.2689, Train Top-1 Acc=0.9296, Train Top-5 Acc=0.9976, Val Loss=4.2932, Val Top-1 Acc=0.3569, Val Top-5 Acc=0.6399, Epoch Time=293.78s
Epoch 32: Train Loss=0.2457, Train Top-1 Acc=0.9438, Train Top-5 Acc=0.9988, Val Loss=4.3035, Val Top-1 Acc=0.3585, Val Top-5 Acc=0.6428, Epoch Time=293.74s
